id,latitude,longitude
1,19.413848,-99.164526
2,19.41497,-99.161922
3,19.41497,-99.161922
4,19.41497,-99.161922
5,19.41497,-99.161922
6,19.41497,-99.161922
7,19.41497,-99.161922
8,19.41497,-99.161922
9,19.41497,-99.161922
10,19.416452,-99.156172
11,19.415651,-99.155671
12,19.413788,-99.155231
13,19.418696,-99.156433
14,19.417013,-99.158556
15,19.415971,-99.158316
16,19.4215,-99.158636
17,19.422983,-99.159137
18,19.420859,-99.161521
19,19.419597,-99.16086
20,19.418936,-99.160499
21,19.42749,-99.159718
22,19.428071,-99.158175
23,19.426609,-99.158756
24,19.426468,-99.156893
