id,count,latitude,gom,longitude
31731527_28_0.jpg,1,38.71884761,1,-9.138511067
31731527_28_1.jpg,2,38.71884761,2,-9.138511067
31731527_28_2.jpg,3,38.71884761,3,-9.138511067
97678477_51_0.jpg,4,10.91363428,4,-74.79356081
97678477_51_1.jpg,5,10.91363428,5,-74.79356081
31731724_34_0.jpg,6,38.7179654,6,-9.13853205
31731529_30_1.jpg,7,6.240925704,7,-75.59807465
31731529_30_2.jpg,8,6.240925704,8,-75.59807465
337101178_837_1.jpg,9,38.699554,9,-9.1298205
337101179_838_2.jpg,10,10.50492944,10,-66.87588384
99796425_89_0.jpg,11,38.72264,11,-9.12951205
99796425_89_1.jpg,12,38.72264,12,-9.12951205
97680521_61_0.jpg,13,-12.93324169,13,-38.44994724
97680521_61_1.jpg,14,-12.93324169,14,-38.44994724
97680521_61_2.jpg,15,-12.93324169,15,-38.44994724
