id,latitude,longitude
ab992e41-233f-42de-af35-41e6e1c2536f,6.247139583843482,-75.59173432673683
758fa605-04b7-4b6c-9b1d-0cb0d5e8e3b2,6.249298368852016,-75.59177967858841
89ae1cd5-1a0e-49a3-8cee-c74aa03e9085,6.247003404346163,-75.59229657710267
a1e2e4bf-6697-47be-9c59-5021e6c25c44,6.247220828872299,-75.59171609833834
a0bfe0e1-721b-4153-b8d7-cc672e68f162,6.246874544355471,-75.59169767501722
67faac39-e68c-4a01-acd9-f8580e570d98,6.248243207063618,-75.59173647287778
65d0b798-7c16-4dd2-b2eb-ea49fba037f2,6.248320802591375,-75.59187257280162
ce10cb58-0c42-4c91-a22a-c2f30603004b,6.247741704741746,-75.59190081261328
71c90a47-5602-4c3b-9471-6201b9eb3e66,6.24777,-75.59162979999999
885e69f9-37be-49d9-a2bf-45cc5a89ea94,6.248596988998035,-75.59212847421087
