id,latitude,longitude
eac6b6c9-5dea-4c5f-b5b6-ad5bc18d566a,6.2484896629384625,-75.59228087682641
9c98d851-28af-4cf5-a18f-d795b515842b,6.248023281494374,-75.59220788630816
8537d25a-c9c2-48e2-bb7b-6daa8815ad1e,6.246715343086954,-75.5920543591679
8fb36a00-a2a8-4a2e-ab35-ae62b7652a78,6.246852926767157,-75.59232714184844
e4fe9ff6-6720-40aa-b57b-e33e448dfadd,6.247991549999999,-75.5920497
13827ca5-cfff-44da-a769-00be0f751978,6.247070084696251,-75.59189483461999
503a10cb-1d08-46a7-ab68-45e7bc48e29a,6.248219876242744,-75.5914809554711
65d0b798-7c16-4dd2-b2eb-ea49fba037f2,6.248320802591374,-75.59187257280163
df53d792-cd21-4bf5-85da-fd5d9cd74567,6.248360272855083,-75.59224976092642
5c47f63d-37f8-4b0f-b374-0a885a334545,6.247811578006203,-75.59229703138507
